start_date,date_column,hour_column,avg_value_hourly
2019-12-31 23:00:00+00:00,2019-12-31,23,64987.75
2020-01-01 00:00:00+00:00,2020-01-01,0,63191.75
2020-01-01 01:00:00+00:00,2020-01-01,1,61903.75
2020-01-01 02:00:00+00:00,2020-01-01,2,58716.0
2020-01-01 03:00:00+00:00,2020-01-01,3,56448.25
2020-01-01 04:00:00+00:00,2020-01-01,4,55891.0
2020-01-01 05:00:00+00:00,2020-01-01,5,56021.25
2020-01-01 06:00:00+00:00,2020-01-01,6,56287.0
2020-01-01 07:00:00+00:00,2020-01-01,7,56243.25
2020-01-01 08:00:00+00:00,2020-01-01,8,56557.25
2020-01-01 09:00:00+00:00,2020-01-01,9,58278.75
2020-01-01 10:00:00+00:00,2020-01-01,10,59960.75
2020-01-01 11:00:00+00:00,2020-01-01,11,62639.5
2020-01-01 12:00:00+00:00,2020-01-01,12,62349.0
2020-01-01 13:00:00+00:00,2020-01-01,13,59783.75
2020-01-01 14:00:00+00:00,2020-01-01,14,57918.25
2020-01-01 15:00:00+00:00,2020-01-01,15,57816.0
2020-01-01 16:00:00+00:00,2020-01-01,16,60392.25
2020-01-01 17:00:00+00:00,2020-01-01,17,63825.75
2020-01-01 18:00:00+00:00,2020-01-01,18,65253.75
2020-01-01 19:00:00+00:00,2020-01-01,19,63854.75
2020-01-01 20:00:00+00:00,2020-01-01,20,61824.75
2020-01-01 21:00:00+00:00,2020-01-01,21,62012.5
2020-01-01 22:00:00+00:00,2020-01-01,22,63272.0
2020-01-01 23:00:00+00:00,2020-01-01,23,61076.5
2020-01-02 00:00:00+00:00,2020-01-02,0,58474.75
2020-01-02 01:00:00+00:00,2020-01-02,1,57329.5
2020-01-02 02:00:00+00:00,2020-01-02,2,54994.75
2020-01-02 03:00:00+00:00,2020-01-02,3,54047.0
2020-01-02 04:00:00+00:00,2020-01-02,4,55760.25
2020-01-02 05:00:00+00:00,2020-01-02,5,59109.5
2020-01-02 06:00:00+00:00,2020-01-02,6,62782.25
2020-01-02 07:00:00+00:00,2020-01-02,7,65985.0
2020-01-02 08:00:00+00:00,2020-01-02,8,68070.5
2020-01-02 09:00:00+00:00,2020-01-02,9,69408.5
2020-01-02 10:00:00+00:00,2020-01-02,10,70219.5
2020-01-02 11:00:00+00:00,2020-01-02,11,71639.75
2020-01-02 12:00:00+00:00,2020-01-02,12,70545.25
2020-01-02 13:00:00+00:00,2020-01-02,13,68337.0
2020-01-02 14:00:00+00:00,2020-01-02,14,66115.5
2020-01-02 15:00:00+00:00,2020-01-02,15,65290.25
2020-01-02 16:00:00+00:00,2020-01-02,16,67220.75
2020-01-02 17:00:00+00:00,2020-01-02,17,69861.75
